SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;
Palaeoloxodon namadicus;Ghod;19.05777778;73.83583333;1.9;0.0117;103-1;NA;;;India;\N;;
Palaeoloxodon namadicus;Godavari River, Nandu;17.22527778;79.61777778;1.9;0.0117;103-1;NA;;;India;\N;Pilgrim (1905);
Palaeoloxodon namadicus;Grotta Puntali;38.11666667;13.21666667;1.9;0.0117;103-1;NA;;;Italy;\N;;
Palaeoloxodon namadicus;Indo-Gangnetic Plain;24;88;0.126;0.0117;5-1;NA;;;India;\N;Nanda, A. C. (2008): Comments on the Pinjor Mammalian Fauna of the Siwalik Group in relation to the post-Siwalik faunas of Peninsular India and Indo-Gangetic Plain. In: Quaternary International 192 (1), S. 6–13. DOI: 10.1016/j.quaint.2007.06.022.;
Palaeoloxodon namadicus;Irrawady 3;22.91666667;94.1;1.9;0.0117;103-1;NA;;;Myanmar;\N;;
Palaeoloxodon namadicus;Malay;3.931111111;102.5394444;1.9;0.0117;103-1;NA;;;Malaysia;Malay Peninsula;;
Palaeoloxodon namadicus;Manjra;21.15388889;72.89444444;1.9;0.0117;103-1;NA;;;India;\N;;
Palaeoloxodon namadicus;Mogok;22.92972222;96.50833333;1.9;0.0117;103-1;NA;;;Burma;\N;Tougak, 2001;
Palaeoloxodon namadicus;Narmada River Basin;22.82055556;77.85388889;1.9;0.0117;103-1;NA;;;India;\N;"Meshram & Sonakia (2006); Falconer & Cautley (1846)";
Palaeoloxodon namadicus;Peninsular India;24;80;1.9;0.0117;103-1;NA;;;India;\N;;
Palaeoloxodon namadicus;Ratnapura;6.683333333;80.4;0.781;0.0117;19-1;NA;;;Sri Lanka;\N;Chauhan, Parth R. (2008): Large mammal fossil occurrences and associated archaeological evidence in Pleistocene contexts of peninsular India and Sri Lanka. In: Quaternary International 192 (1), S. 20–42. DOI: 10.1016/j.quaint.2007.06.034.;
Palaeoloxodon namadicus;Silakhur;33.5;48.4167;1.9;0.0117;103-1;NA;;;Iran;Lorestan;;
Palaeoloxodon namadicus;Spinagallo;37.18333333;15.18333333;1.9;0.0117;103-1;NA;;;Italy;\N;;
Palaeoloxodon namadicus;West Bengal;22.98361111;87.86027778;1.9;0.0117;103-1;NA;;;India;\N;;
Palaeoloxodon namadicus;Harwadi, Manjra Valley;18.478061;76.612878;0.03447;0.02682;3-2;NA;;;India;;"Turvey, Samuel T.; Sathe, Vijay; Crees, Jennifer J.; Jukar, Advait M.; Chakraborty, Prateek; Lister, Adrian M. (2021): Late Quaternary megafaunal extinctions in India: How much do we know? In: Quaternary Science Reviews 252, S. 106740. DOI: 10.1016/j.quascirev.2020.106740.    Sathe, Vijay (2015): DISCOVERY OF A FOSSIL BONE BED IN THE MANJRA VALLEY, DISTRICT LATUR, MAHARASHTRA. In: Bulletin of the Deccan College Research Institute 75, S. 1–16. Online verfügbar unter http://www.jstor.org/stable/26264717.";
Palaeoloxodon namadicus;Hathnora, Surajkund Formation;21.968709;78.372147;0.15;0.05;6-3;NA;;;India;;"Patnaik, Rajeev; Singh, Ningthoujam Premjit; Paul, Debajyoti; Sukumar, Raman (2019): Dietary and habitat shifts in relation to climate of Neogene-Quaternary proboscideans and associated mammals of the Indian subcontinent. In: Quaternary Science Reviews 224, S. 105968. DOI: 10.1016/j.quascirev.2019.105968.";
