SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;BASIN;COUNTRY;SP_SYNONYM;REFERENCE;;;;;
Mammuthus meridionalis;Pirro Nord, P. 77 1+2;41.783333;15.45;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. De Guili, F. Masini, and D. Torre. 1990. The Latest Villfranchian faunas in Italy - the Pirro Nord local fauna (Apricena, Gargano). Quatarpalaontologie 8:29-34;;;;;
Mammuthus meridionalis;Pirro Nord, P. 79 1+2;41.783333;15.45;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. De Guili, F. Masini, and D. Torre. 1990. The Latest Villfranchian faunas in Italy - the Pirro Nord local fauna (Apricena, Gargano). Quatarpalaontologie 8:29-34;;;;;
Mammuthus meridionalis;Pirro Nord, P. N. 22 bis;41.783333;15.45;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. De Guili, F. Masini, and D. Torre. 1990. The Latest Villfranchian faunas in Italy - the Pirro Nord local fauna (Apricena, Gargano). Quatarpalaontologie 8:29-34;;;;;
Mammuthus meridionalis;Pirro Nord, P. N. 3;41.783333;15.45;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. De Guili, F. Masini, and D. Torre. 1990. The Latest Villfranchian faunas in Italy - the Pirro Nord local fauna (Apricena, Gargano). Quatarpalaontologie 8:29-34;;;;;
Mammuthus meridionalis;Pirro Nord, P. N. 5;41.783333;15.45;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. De Guili, F. Masini, and D. Torre. 1990. The Latest Villfranchian faunas in Italy - the Pirro Nord local fauna (Apricena, Gargano). Quatarpalaontologie 8:29-34;;;;;
Mammuthus meridionalis;Pirro Nord, Pieri Collection.;41.783333;15.45;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. De Guili, F. Masini, and D. Torre. 1990. The Latest Villfranchian faunas in Italy - the Pirro Nord local fauna (Apricena, Gargano). Quatarpalaontologie 8:29-34;;;;;
Mammuthus meridionalis;Prundu, Ilfov district;44.099998;26.333332;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. Radulescu and P.-M. Samson. 2001. Biochronology and evolution of the Early Pliocene to the Early Pleistocene mammalian faunas of Romania. Bollettino della Societa Paleontologica Italiana 40(2):285-291;;;;;
Mammuthus meridionalis;Q-Profil;40.083332;21.416668;2.3;0.25;89-8;NA;;;;;;G. D. Koufos. 2001. The Villafranchian mammalian faunas and biochronology of Greece. Bollettino della Societa Paleontologica Italiana 40(2):217-223;;;;;
Mammuthus meridionalis;Rostov-na-donu;47.233334;39.715;3.6;2.588;103-64;NA;Late Pliocene;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Rotbav-Silvestru;45.833332;25.549999;2.588;0.781;103-19;NA;Early Pleistocene;;;;;"C. Radulescu and P. Samson. 1985. Pliocene and Pleistocene mammalian biostratigraphy in southeastern Transylvania (Romania). Travaux de l'Institut de Speologie ""Emile Racovitza"". 24:85-95";;;;;
Mammuthus meridionalis;S. Regolo;43.534721;10.491389;2.588;0.0117;103-1;NA;;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Saint-Vidal;45.066666;3.783333;2;1.6;77-58;NA;MN 17;;;;;E. Heintz, C. Guerin, and R. Martin, F. Prat. 1974. Principaux gisements villafranchiens de France: Listes fauniques et biostratigraphie. Memoires du Bureau de Recherches Geologiques et Minieres  78(1):169-182;;;;;
Mammuthus meridionalis;Sainzelles, Polignac, Haute-Loire;45.066666;3.866667;2.588;0.781;103-19;NA;Early Pleistocene;;;;;H. J. O'Regan. 2003. Reidentifications and synonomies of European mammals.;;;;;
Mammuthus meridionalis;San Giacomo, Anagni, southern Lazio;41.742222;13.158889;2.5;2.3;100-94;NA;MN 17;;;;;T. Kotsakis. 1986. Elementi di paleobiogeographia dei mammiferi Terziari dell Italia. Hystrix 1:25-68;;;;;
Mammuthus meridionalis;San Romano;43.662498;10.771667;0.781;0.126;19-5e;NA;Middle Pleistocene;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;St. Vallier;45.166668;4.816667;2;1.6;77-58;NA;MN 17;;;;;E. Heintz, C. Guerin, and R. Martin, F. Prat. 1974. Principaux gisements villafranchiens de France: Listes fauniques et biostratigraphie. Memoires du Bureau de Recherches Geologiques et Minieres  78(1):169-182;;;;;
Mammuthus meridionalis;Strekov;47.900002;18.417;2.588;0;103-1;NA;Quaternary;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Strmica;44.170555;16.261389;2.588;0.0117;103-1;NA;Pleistocene;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Tash-Kala;43.310001;45.670277;2.588;1.806;103-64;NA;Gelasian;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Tsiotra Vryssi ;40.523056;23.435278;1.78;1.5;63-53;NA;Early Pleistocene;;;;;G. E. Konidaris, D. S. Kostopoulos, and M. Maron, M. Schaller, T. A. Ehlers, E. Aidona, M. Marini, V. Tourloukis, G. Muttoni, G. D. Koufos, K. Harvati. 2021. Dating of the Lower Pleistocene Vertebrate Site of Tsiotra Vryssi (Mygdonia Basin, Greece): Biochronology, Magnetostratigraphy, and Cosmogenic Radionuclides. Quaternary MDPI 4(1):1-18;;;;;
Mammuthus meridionalis;Ust' Talovka;51.485284;82.271518;1.7;1.6;60;K;Matuyama below Olduvai;;;;;Vislobokova, Inesa (2005): On Pliocene faunas with Proboscideans in the territory of the former Soviet Union. In: Quaternary International 126-128, S. 93–105. DOI: 10.1016/j.quaint.2004.04.017.;;;;;
Mammuthus meridionalis;Valdeganga 2;39.150002;-1.666667;2.8;2.588;G10-103;NA;MN16b;;;;;P. Mein, E. Moissenet, and G. Truc. 1978. Les Formations continentales du Neogene superieur des vallees du Jucar et du Cabriel au ne d'Albacete (Espagne). Biostratigraphie et environment. Documents des laboratoires de Geologie de Lyon 72:99-147;;;;;
Mammuthus meridionalis;Valea Mijlociei, Tetoiu 2 middle faunal horizon;44.75;23.916668;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. Radulesco and P. Samson. 1990. The Plio-Pleistocene mammalian succession of the Oltet Valley, Dacic Basin, Romania. Quatarpalaontologie 8:225-232;;;;;
Mammuthus meridionalis;Valea Ormoricea, Tetoiu 3 upper faunal horizon;44.75;23.916668;2.588;0.0117;103-1;NA;Pleistocene;;;;;C. Radulesco and P. Samson. 1990. The Plio-Pleistocene mammalian succession of the Oltet Valley, Dacic Basin, Romania. Quatarpalaontologie 8:225-232;;;;;
Mammuthus meridionalis;Valverde de Calatrava, Ciudad Real;38.983334;-3.933333;2.588;0.781;103-19;NA;Early Pleistocene;;;;;E. Aguirre and J. Morales. 1990. Villafranchian faunal record of Spain. QuartÃ¤rpalÃ¤ontologie 8:7-11;;;;;
Mammuthus meridionalis;Vinodel'noye;45.718056;42.90361;3.6;2.588;103-64;NA;Late Pliocene;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Vlachiotis;36.847778;22.718611;2.588;1.806;103-65;NA;Early Pleistocene;;;;;"Athanassiou, A.; Bouzas, D. (2010): New Hippopotamid finds in Eurotas Valley (Laconia, Greece). In: Proceedings of the XIX CBGA Congress, Thessaloniki, Greece (99), S. 57–62.";;;;;
Mammuthus meridionalis;Voigtstedt bei Sangerhausen, Lehmzone;51.400002;11.316667;0.4;0.2;12-8;NA;Late Middle Pleistocene;;;;;W. von Koenigswald and W.-D. Heinrich. 1999. Mittelpleistozane Saugetierfaunen aus Mitteleuropa - der Versuch einer biostratigraphischen Zuordnung. Kaupia 9:53-112;;;;;
Mammuthus meridionalis;Westleton Beds, Norfolk;52.763092;1.40361;1.81;1.806;65;W;End of Pre-Pastonian;;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Weybourne Crag/ Wroxham Crag Formation;52.798361;1.31622;1.86;1.85;70;K;Pre-Pastonian;;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Wissant, Pas de Calais;50.886112;1.6625;2.588;0.0117;103-1;NA;Pleistocene;;;;;M. F. Bonifay. 1973. Principaux gisements paleontologiques Francais du Pleistocene Moyen: Essai de classification. Le Quaternaire;;;;;
