SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;BASIN;COUNTRY;SP_SYNONYM;REFERENCE;;;;;
Mammuthus meridionalis;Vatera-F (VTR-F);39.26138889;26.27861111;2.5;1.9;100-72;NA;;;Northern Aegean;Greece;Elephas maghrebiensis:Elephas moghrebiensis;Koufos, G. D. (2006): The Neogene mammal localities of Greece: faunas, chronology and biostratigraphy. In: Hellenic Journal of Geosciences (41), S. 183–214.;;;;;
Mammuthus meridionalis;Vatera-U (VTR-U);39.054414;26.281173;2.5;1.4;100-49;NA;;;;Greece;;Koufos, G. D. (2006): The Neogene mammal localities of Greece: faunas, chronology and biostratigraphy. In: Hellenic Journal of Geosciences (41), S. 183–214.;;;;;
Mammuthus meridionalis;KislÃ¡ng;46.58;18.23;3.55;2.5;MG10-103;NA;;;Pannonian;Hungary;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;VillÃ¡ny 3;46.2;18.3;3.55;1.9;MG10-72;NA;;;Pannonian;Hungary;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Ubeidiya;32.6667;35.5833;1.981;1.2;103-64;NA;;;Sinai - Levant;Israel;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;'Ubeidiya Formation site II-23;32.683334;35.566666;1.4;1;46-31;NA;Pleistocene;;;Israel;;S. Gaudzinski. 2004. Subsistence patterns of Early Pleistocene hominids in the Levant - taphonomic evidence from the 'Ubeidiya Formation. Journal of Archaeological Science 31:65-75;;;;;
Mammuthus meridionalis;Campo del Merlo;41.96666667;12.35;0.85;0.7;21-18;NA;Early Middle Pleistocene;;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;"Palombo, M. R.; Ferretti, M. (2005): Elephant fossil record from Italy: knowledge, problems, and perspectives. In: Quaternary International (126), S. 107–136.";;;;;
Mammuthus meridionalis;Campo di Pile, L'Aquila, Abruzzo;42.351744;13.338038;1.09;1.07;31;W;Early Pleistocene;;;Italy;;"Agostini, S.; Palombo, M. R.; Rossi, M. A.; Di Canzio, E.; Tallini, M. (2012): Mammuthus meridionalis (Nesti, 1825) from Campo di Pile (L'Aquila, Abruzzo, Central Italy). In: Quaternary International (276-277), S. 42–52.";;;;;
Mammuthus meridionalis;Casa Frata, Arezzo, Upper Valdarno, Tuscany;43.616669;11.466667;1.8;1.6;66-59;NA;Middle Pleistocene;;;Italy;;"Cioppi, E.; Napoleone, G. (2001): The fossil vertebrate database of the natural history museum of Florence and high-resolution magnetic stratigraphy in the Upper Valdarno Basin, as a clue to date old collections. In: Rivist Italiana di Paleontologia e Stratigrafia (107), S. 297–303.";;;;;
Mammuthus meridionalis;Cava Redicicoli;41.98;12.53;0.79;0.805;20;K;;;\N;Italy;Elephas maghrebiensis:Elephas moghrebiensis;"Marra, F.; Pandolfi, L.; Petronio, C.; Di Stefano, G.; Gaeta, M.; Salari, L. (2014): Reassessing the sedimentary deposits and vertebrate assemblages from Ponte Galeria area (Rome, central Italy): An archive for the Middle Pleistocene faunas of Europe. In: Earth-Science Reviews 139, S. 104–122. DOI: 10.1016/j.earscirev.2014.08.014.";;;;;
Mammuthus meridionalis;Colle Curti, Macerata;42.967151;12.942198;1.062;0.988;30-28;NA;;;Northern Apennines;Italy;Elephas maghrebiensis:Elephas moghrebiensis;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Coste San Giacomo;42;14.4167;2.23;2.2;85;W;;;Southern Apennines;Italy;Elephas maghrebiensis:Elephas moghrebiensis;"Sardella, R.; Bellucci, L.; Bona, F.; Cherin, M.; Iurino, D. A.; Rook, L. (2018): Before and after the earliest Homo dispersal in Europe: Evidence from the early Pleistocene sites of the Italian Peninsula. In: Comptes Rendus Palevol (17), S. 287–295.";;;;;
Mammuthus meridionalis;Crostolo;44.61666667;10.56666667;1.9;0.0117;103-1;NA;;;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Farneta;43.6667;12;1.8615;1.681;103-23;NA;;;Tyrrhenian Sea - Tuscany;Italy;\N;;;;;;
Mammuthus meridionalis;La Salita di Oriolo, Faenza, Emilia Romagna;44.2589;11.8872;1.1;0.95;33-25;NA;;;;Italy;;"Ferretti, M. (1999): Mammuthus meridionalis (Mammalia, Proboscidea, Elephantidae) from the ""Sabbie Gialle"" of Oriolo (Cava La Salita, Faenza, Northern Italy) and other European late populations of southern mammoth. In: Eclogae Geologicae Helvetiae (92), S. 503–515.";;;;;
Mammuthus meridionalis;Matassino;43.3333;11.0833;1.981;1.889333333;103-64;NA;;;Tyrrhenian Sea - Tuscany;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Monte Mario;41.92;12.45;1.8;1.5;103-64;NA;;;\N;Italy;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
