SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ
Mammuthus primigenius;Anabar Gulf;73;113.35;0.0406;0.0396;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004";
Mammuthus primigenius;Anabar River;72.15;113.3;0.0298;0.029;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabarka River;72.4;106;0.0371;0.0361;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabarka River;72.4;106;0.0407;0.0399;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabarka River;72.4;106;0.0427;0.0411;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabarka River;72.4;106;0.0292;0.0286;03. Feb;;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabarka River;72.4;106;NA;0.05;;;;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabar-Olenek Watershed;73.6;117;0.0364;0.0354;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Andrei Polar Station, SW Taymyr;76.63165;110.875924;0.00982;0.00974;1;W;Late Pleistocene;;Russia;;"Stuart, Anthony J.; Sulerzhitsky, Leopold D.; Orlova, Lyobov A.; Kuzmin, Yaroslav V.; Lister, Adrian M. (2002): The latest woolly mammoths (Mammuthus primigenius Blumenbach) in Europe and Asia: a review of the current evidence. In: Quaternary Science Reviews 21 (14-15), S. 1559–1569. DOI: 10.1016/S0277-3791(02)00026-4.";
Mammuthus primigenius;Aprelsky;53.5;126.27;NA;0.05;;;;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004";
Mammuthus primigenius;Arbreda Cave, Serinyá;42.142115;2.739989;0.04208;0.035165;3;W;Late Pleistocene;;Spain;Girona;"Rodríguez?Almagro, Manuel; Sala, Nohemi; Wi?ing, Christoph; Arriolabengoa, Martin; Etxeberria, Francisco; Rios?Garaizar, Joseba; Gómez?Olivencia, Asier (2021): Ecological conditions during the Middle to Upper Palaeolithic transition (MIS 3) in Iberia: the cold?adapted faunal remains from Mainea, northern Iberian Peninsula. In: Boreas 50 (3), S. 686–708. DOI: 10.1111/bor.12501.       Rufí, I.; Solés, A.; Soler, J.; Soler, N. (2018): Un diente de cría de mamut (Mammuthus primigenius Blumenbach 1799, Proboscidea) procedente del Musteriense de la Cueva de la Arbreda (Serinyà, NE de la Península Ibérica). In: Estud. geol. 74 (2), S. 79. DOI: 10.3989/egeol.43130.478.";
Mammuthus primigenius;Archangelsk, Archangelsk;64.566235;40.626019;0.02202;0.02169;2;K;Late Pleistocene;;Russia;Archangelsk;"Ponomarev, D. V.; Markova, A. K.; van Kolfschoten, T.; van der Plicht, J. (2012): Radiocarbon dates of late quaternary mammals in the Archangelsk Region and their contribution to reconstructions of the last glaciation in Eastern Europe. In: Dokl. Earth Sc. 444 (2), S. 706–710. DOI: 10.1134/S1028334X12060256.";
Mammuthus primigenius;Archangelsk, Archangelsk;64.566235;40.626019;0.03998;0.0392;3;W;Late Pleistocene;;Russia;Archangelsk;"Ponomarev, D. V.; Markova, A. K.; van Kolfschoten, T.; van der Plicht, J. (2012): Radiocarbon dates of late quaternary mammals in the Archangelsk Region and their contribution to reconstructions of the last glaciation in Eastern Europe. In: Dokl. Earth Sc. 444 (2), S. 706–710. DOI: 10.1134/S1028334X12060256.";
