SPECIES;DETERMINED AS;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Chazumba II;18.195557;-97.67083;2.588;0.0117;;;Pleistocene;;MX;Santiago chazumba;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
Mammuthus columbi;Mammuthus columbi;Chazumba II, Barranca del Muerto;18.195557;-97.67083;0.24;0.028;7-2;;Rancholabrean;;MX;Santiago chazumba;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
Mammuthus columbi;Mammuthus columbi;Atepetzingo, Puebla;18.687286;-98.502898;0.026;0.021;2;K;Late Pleistocene;;MX;;"Lagunas Rodríguez, Zaid; Carbot-Chanona, Gerardo; Jiménez Moreno, Francisco Javier (2019): Distribución de Mammuthus columbi (Mammalia, Proboscidea) en el Pleistoceno tardío de Puebla, México. In: Cienc. ergo sum 26 (2), S. 1–14. DOI: 10.30878/ces.v26n2a7.";;;
Mammuthus columbi;Mammuthus columbi;Tecamachalco, Puebla;18.881257;-97.732988;0.00965;0.00865;1;W;Greenlandian;;MX;;"Lagunas Rodríguez, Zaid; Carbot-Chanona, Gerardo; Jiménez Moreno, Francisco Javier (2019): Distribución de Mammuthus columbi (Mammalia, Proboscidea) en el Pleistoceno tardío de Puebla, México. In: Cienc. ergo sum 26 (2), S. 1–14. DOI: 10.30878/ces.v26n2a7.";;;
Mammuthus columbi;Mammuthus columbi;Hueyatlaco, Puebla;18.919618;-98.135215;0.026;0.021;2;K;Late Pleistocene;;MX;;"Lagunas Rodríguez, Zaid; Carbot-Chanona, Gerardo; Jiménez Moreno, Francisco Javier (2019): Distribución de Mammuthus columbi (Mammalia, Proboscidea) en el Pleistoceno tardío de Puebla, México. In: Cienc. ergo sum 26 (2), S. 1–14. DOI: 10.30878/ces.v26n2a7.";;;
Mammuthus columbi;Mammuthus columbi;Sierra de Amozoc;18.932;-98.1205;2.588;0.012;;;Pleistocene;;;;"Carbot-Chanona, Gerardo; Lagunas-Rodríguez, Zaid; Jiménez-Moreno, Francisco Javier; Suárez, Sergio (2017): Aspectos paleobiológicos de dos ejemplares de Mammuthus columbi (Mammalia, Proboscidea, Elephantidae) del Pleistoceno de Puebla, centro de México. In: BSGM 69 (3), S. 591–609. DOI: 10.18268/BSGM2017v69n3a5.";;;
Mammuthus columbi;Mammuthus columbi;Zacachimalpa, Puebla;18.943108;-98.160673;0.026;0.021;2;K;Late Pleistocene;;MX;;"Lagunas Rodríguez, Zaid; Carbot-Chanona, Gerardo; Jiménez Moreno, Francisco Javier (2019): Distribución de Mammuthus columbi (Mammalia, Proboscidea) en el Pleistoceno tardío de Puebla, México. In: Cienc. ergo sum 26 (2), S. 1–14. DOI: 10.30878/ces.v26n2a7.";;;
Mammuthus columbi;Mammuthus columbi;Caulapan, Puebla;18.945643;-98.126206;0.026;0.021;2;K;Late Pleistocene;;MX;;"Lagunas Rodríguez, Zaid; Carbot-Chanona, Gerardo; Jiménez Moreno, Francisco Javier (2019): Distribución de Mammuthus columbi (Mammalia, Proboscidea) en el Pleistoceno tardío de Puebla, México. In: Cienc. ergo sum 26 (2), S. 1–14. DOI: 10.30878/ces.v26n2a7.";;;
Mammuthus columbi;Mammuthus columbi;Caulapan, Puebla;18.945643;-98.126206;0.00965;0.00865;1;W;Early Holocene;;MX;;"Lagunas Rodríguez, Zaid; Carbot-Chanona, Gerardo; Jiménez Moreno, Francisco Javier (2019): Distribución de Mammuthus columbi (Mammalia, Proboscidea) en el Pleistoceno tardío de Puebla, México. In: Cienc. ergo sum 26 (2), S. 1–14. DOI: 10.30878/ces.v26n2a7.";;;
Mammuthus columbi;Mammuthus columbi;Arenillas, Puebla;18.952792;-98.181434;0.026;0.021;2;K;Late Pleistocene;;MX;;"Lagunas Rodríguez, Zaid; Carbot-Chanona, Gerardo; Jiménez Moreno, Francisco Javier (2019): Distribución de Mammuthus columbi (Mammalia, Proboscidea) en el Pleistoceno tardío de Puebla, México. In: Cienc. ergo sum 26 (2), S. 1–14. DOI: 10.30878/ces.v26n2a7.";;;
Mammuthus columbi;Mammuthus columbi;Tlacotenco, Sierra Chichinautzin;19.154025;-99.00098;0.017;0.017;2;K;Late Pleistocene;;MX;;"Guilbaud, Marie-Noelle; Arana-Salinas, Lilia; Siebe, Claus; Barba-Pingarrón, Luis Alberto; Ortiz, Agustín (2015): Volcanic stratigraphy of a high-altitude Mammuthus columbi (Tlacotenco, Sierra Chichinautzin), Central México. In: Bull Volcanol 77 (3). DOI: 10.1007/s00445-015-0903-5.";;;
Mammuthus columbi;Mammuthus columbi;Metepec;19.25;-99.600;0.24;0.012;7-1;;Rancholabrean;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
Mammuthus columbi;Mammuthus columbi;Barranca El Morillo;19.251453;-97.410216;2.588;0.012;;;Pleistocene;;;;"Carbot-Chanona, Gerardo; Lagunas-Rodríguez, Zaid; Jiménez-Moreno, Francisco Javier; Suárez, Sergio (2017): Aspectos paleobiológicos de dos ejemplares de Mammuthus columbi (Mammalia, Proboscidea, Elephantidae) del Pleistoceno de Puebla, centro de México. In: BSGM 69 (3), S. 591–609. DOI: 10.18268/BSGM2017v69n3a5.";;;
Mammuthus columbi;Mammuthus columbi;Culhuacan, México City;19.3333;-99.08333;0.24;0.012;7-1;;Rancholabrean;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
Mammuthus columbi;Mammuthus columbi;Tocuila;19.5166;-98.900;0.011188;0.01118;1;W;Greenlandian;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
Mammuthus columbi;Mammuthus columbi;Santa Isabel Iztapan;19.566668;-99.699997;0.126;0.0117;5-1;;Late Pleistocene;;MX;Mexico;"L. Aveleyra Arroyo de Anda and M. Maldonado-Koerdell. 1953. Association of artifacts with mammoth in the Valley of Mexico. American Antiquity 18(4):332-340    PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.";;;
Mammuthus columbi;Mammuthus imperator;Santa Isabel Iztapan;19.566668;-99.699997;0.126;0.0117;5-1;;Late Pleistocene;;MX;;L. Aveleyra Arroyo de Anda and M. Maldonado-Koerdell. 1953. Association of artifacts with mammoth in the Valley of Mexico. American Antiquity 18(4):332-340;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Santa Isabel Iztapan;19.566668;-99.699997;0.126;0.0117;;;Late Pleistocene;;MX;Mexico;L. Aveleyra Arroyo de Anda and M. Maldonado-Koerdell. 1953. Association of artifacts with mammoth in the Valley of Mexico. American Antiquity 18(4):332-340;;;
Mammuthus columbi;Mammuthus columbi;Santa Lucia I, Zumpango;19.7333;-98.98333;0.0239;0.0263;2;K;Late Pleistocene;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
Mammuthus columbi;Mammuthus columbi;Santa Lucia II, Zumpango;19.7333;-98.98333;0.01117;0.01117;1;W;Greenlandian;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
Mammuthus columbi;Mammuthus columbi;El Mirador, Hidalgo;19.8333;-98.333;0.24;0.012;7-1;;Rancholabrean;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
